LCS ID,AKR1D1,TIPARP,CYP3A4,HSD17B10,HSD17B8,AKR1C4,PPARGC1A,CYP19A1,SPP1,HSD17B3,ADM,SGPL1,HSD17B6,CYP17A1,SCARB1,SRD5A1,HSD17B11,WNT4,ESR1,HSD17B4,HSD3B1,DHRS9,SHH,HSD3B2,PLEKHA1,SRD5A2
LCS_211A,9.341000000000001,7.079,8.495,8.792,7.761,7.315,7.064,3.185,5.444,3.735,4.629,3.8930000000000002,10.890999999999998,4.051,8.421,6.475,10.353,3.748,5.4270000000000005,10.860999999999999,3.364,3.8160000000000003,3.435,3.4760000000000004,7.257999999999999,3.85
LCS_073A,3.162,6.85,5.279,8.119,6.0329999999999995,3.9410000000000003,7.045,3.108,7.037000000000001,3.4810000000000003,8.277999999999999,3.779,3.945,3.534,8.066,6.858,6.985,3.326,6.51,10.051,3.358,3.889,3.333,3.2489999999999997,7.273,3.927
LCS_230A,4.4319999999999995,6.782,6.522,7.449,4.086,4.482,4.524,3.49,9.844,4.31,5.2860000000000005,4.573,3.983,3.892,6.013999999999999,5.095,9.818999999999999,3.602,4.726,8.078,3.8569999999999998,4.336,3.7910000000000004,4.005,7.316,4.144
LCS_262A,9.435,7.114,6.167000000000001,8.922,5.279,6.912999999999999,6.121,4.651,9.14,4.948,6.0360000000000005,3.944,7.197,9.875,9.39,5.356,7.209,3.233,3.463,9.478,3.407,4.006,3.4019999999999997,3.495,8.238,3.6830000000000003
LCS_144A,6.341,8.439,11.627,8.78,6.255,11.234000000000002,5.757000000000001,3.4130000000000003,12.780999999999999,5.081,8.796,4.046,10.957,6.572,7.27,7.432,9.675,3.1630000000000003,6.691,11.327,3.242,5.587000000000001,3.622,3.5610000000000004,6.74,5.175
LCS_024A,3.5060000000000002,5.718999999999999,7.362,7.792999999999999,5.004,8.345,7.912999999999999,3.965,9.115,6.602,4.306,3.565,8.186,4.6160000000000005,7.7,4.748,9.128,4.25,3.865,10.981,3.077,4.353,3.367,3.6830000000000003,8.381,3.717
LCS_212A,3.355,6.343999999999999,7.032,8.682,5.4110000000000005,4.183,7.153,3.1460000000000004,9.606,4.417,8.427,3.883,3.074,3.903,8.69,4.54,8.035,3.341,3.748,8.533,3.2510000000000003,4.224,3.682,3.679,8.883,4.212
LCS_180A,4.85,6.694,10.347999999999999,8.622,6.808,7.336,4.587,3.535,10.068999999999999,3.7060000000000004,7.736000000000001,4.76,11.218,9.35,10.025,5.348,8.827,3.358,3.736,10.895,2.963,4.521,3.7739999999999996,3.304,8.845,4.393
LCS_183A,9.738,6.388999999999999,6.596,9.863999999999999,5.279,9.691,6.58,4.185,8.004,4.36,4.5,3.773,10.960999999999999,6.479,8.644,6.35,8.583,3.4619999999999997,5.104,10.690999999999999,5.356,4.8580000000000005,3.582,3.513,7.402,6.586
LCS_153A,7.507000000000001,5.1610000000000005,4.986000000000001,5.834,4.178999999999999,10.226,3.7680000000000002,3.853,10.321,5.2620000000000005,5.367999999999999,4.03,6.732,3.924,7.53,5.631,6.126,3.5269999999999997,5.4270000000000005,9.368,3.2880000000000003,4.2,3.67,5.1160000000000005,8.378,4.887
LCS_042A,4.81,6.978,7.164,8.546,6.776,9.89,5.456,3.6310000000000002,12.15,3.931,4.776,3.96,10.292,4.441,8.214,6.686,9.013,3.9789999999999996,3.948,10.294,3.234,4.388999999999999,3.512,3.4530000000000003,8.049,4.686
LCS_018A,9.187999999999999,7.0729999999999995,10.449000000000002,8.493,6.48,10.46,6.566,3.279,8.786,5.14,5.175,3.766,11.265,3.908,8.477,6.944,9.972999999999999,3.695,6.55,10.953,2.931,4.387,3.71,3.115,7.405,4.94
LCS_062A,5.817,4.3260000000000005,6.345,6.525,3.86,4.36,5.792000000000001,3.5410000000000004,7.707999999999999,4.762,6.734,3.627,3.983,5.244,8.976,5.946000000000001,4.989,3.9019999999999997,3.873,9.581,3.4789999999999996,4.6,5.002,5.757000000000001,6.882000000000001,4.681
LCS_275A,7.7410000000000005,7.6129999999999995,8.288,8.146,6.775,11.554,8.435,3.6710000000000003,6.067,3.43,4.17,3.7969999999999997,5.875,3.762,8.685,5.906000000000001,9.222000000000001,3.66,3.925,10.4,3.325,4.369,3.905,3.7310000000000003,7.6579999999999995,4.1610000000000005
